5 10 20 21
30 2 31 24
19 31 25 16
27 16 27 33
24 21 35 34
7 23 23 22
8 25 10 29
12 15 27 23
4 3 7 13
6 13 14 23
18 29 10 12
22 9 20 19
11 14 39 35
20 1 23 21
26 32 38 16
17 28 0 28
23 4 37 31
28 5 27 46
9 32 27 23
7 26 16 24
21 22 13 16
18 20 24 31
16 13 12 19
31 11 16 15
3 8 25 20
29 17 3 9
30 1 7 40
15 27 14 38
2 24 35 28
14 10 20 34
12 19 14 17
25 6 29 14
13 20 0 27
1 4 18 33
24 31 17 10
32 22 29 27
8 18 24 30
3 15 19 17
11 12 27 34
10 7 29 17
19 5 22 10
17 30 37 32
28 29 18 37
23 16 3 24
27 14 22 26
26 25 3 34
6 9 17 31
2 21 45 32
18 7 7 22
14 15 27 30
31 13 20 27
8 32 20 31
29 23 27 17
4 20 16 0
5 2 33 48
24 3 28 27
11 6 14 17
10 30 27 7
17 1 17 13
21 27 35 34
9 28 24 17
16 26 14 43
22 19 10 24
1 28 33 21
20 8 33 13
25 11 23 24
6 14 23 29
31 18 30 17
13 19 13 31
23 26 13 31
32 3 16 10
2 10 23 16
7 9 14 28
27 24 31 34
4 17 30 19
22 12 16 23
30 5 17 14
